Timestamp,Speed
4,0
5,2.16138
6,3.63037
7,4.41746
8,4.6216
9,4.56104
10,4.07313
11,5.22171
12,4.88994
13,5.16734
14,4.6938
15,5.12036
16,4.21067
17,3.64894
18,0.247824
19,0.457208
20,1.07163
21,1.93963
22,4.3683
23,3.8641
24,4.97662
25,4.14098
26,5.14894
27,4.38514
28,4.45766
29,4.51036
30,4.92561
31,4.56984
32,4.45084
33,5.17356
34,5.16971
35,5.10572
36,4.28723
37,3.85389
38,4.83203
39,5.04
40,4.07264
41,4.49208
42,4.50184
43,4.35084
44,5.01082
45,4.6624
46,5.22666
47,4.80892
48,5.21258
49,4.51084
50,4.438
51,4.15394
52,4.21964
53,4.74691
54,4.40627
55,4.15561
56,4.68672
57,4.35043
58,4.93908
59,4.3288
