Timestamp,Speed
1,0
2,1.48467
3,3.51581
4,4.67904
5,4.09672
6,4.0557
7,4.70008
8,4.60141
9,4.34201
10,5.01098
11,4.12695
12,4.8344
13,4.47544
14,4.54359
15,4.42282
16,5.28236
17,4.69075
18,4.83272
19,5.21661
20,4.61978
21,4.43237
22,4.95585
23,5.2939
24,4.34425
25,4.13515
26,4.71604
27,4.24206
28,4.04496
29,4.46281
30,4.3691
31,5.12388
32,4.13449
33,4.60187
34,4.0015
35,4.63919
36,4.56017
37,4.71039
38,5.28477
39,4.66359
40,5.0089
41,5.25861
42,4.99074
43,4.17643
44,4.78231
45,4.55955
46,4.96934
47,4.22593
48,4.67782
49,4.01256
50,5.12161
51,4.8015
52,5.29993
53,5.05867
54,4.27464
55,5.02269
56,5.03029
57,4.69735
58,4.25015
59,4.62741
60,4.38418
61,4.20744
62,5.1117
