Timestamp,Speed
7,0
8,1.77363
9,3.76742
10,5.55772
11,6.84374
12,5.8025
13,5.92238
14,6.1694
15,6.59282
16,4.93921
17,3.87316
18,4.1246
19,4.46837
20,3.46385
21,5.03204
22,6.27948
23,6.92456
24,6.91258
25,6.01411
26,5.76137
27,6.8002
28,6.06808
29,6.87962
30,6.98799
31,5.74996
32,6.64968
33,5.75091
34,6.98187
35,5.92152
36,6.40702
37,5.9877
38,5.79729
39,6.38212
40,6.29901
41,6.40602
42,6.38481
43,6.9873
44,6.87329
45,6.18243
46,6.9567
47,5.90104
48,6.69743
49,6.29203
50,6.84987
51,6.59691
52,6.9151
53,6.50505
54,6.44868
55,6.46069
56,6.94019
57,5.94054
58,5.82357
59,6.67575
60,5.84102
61,6.92414
62,6.17954
63,6.51341
64,5.9658
65,6.60419
66,6.04009
67,5.77773
68,6.80652
69,6.41263
70,6.61937
71,6.41823
72,6.82932
73,6.86996
74,5.836
75,6.97491
76,6.64273
77,6.66369
78,6.47125
79,5.73152
80,6.40792
81,5.7389
82,6.96685
83,5.84554
84,6.07881
85,6.63889
86,5.83668
87,6.96552
88,6.18667
89,6.57159
